Num_Threads;Qtd_Pontos;Sequencial;Paralelo
1;50000;0;4.76912
2;50000;0;2.39913
3;50000;0;2.21165
4;50000;0;2.03466
5;50000;0;2.29765
6;50000;0;2.07566
7;50000;0;2.0137
8;50000;0;2.02824
9;50000;0;2.02484
10;50000;0;2.26476
11;50000;0;2.08273
12;50000;0;2.06936
13;50000;0;1.99
14;50000;0;2.01892
15;50000;0;2.26884
16;50000;0;2.04063
17;50000;0;2.02648
18;50000;0;2.09341
19;50000;0;2.01744
20;50000;0;2.41067
21;50000;0;2.09945
22;50000;0;2.02414
23;50000;0;2.00365
24;50000;0;2.00031
25;50000;0;2.28783
26;50000;0;2.04984
27;50000;0;1.99907
28;50000;0;2.00095
29;50000;0;2.00797
30;50000;0;2.29713
31;50000;0;2.11179
32;50000;0;2.01085
33;50000;0;2.01965
34;50000;0;2.03099
35;50000;0;2.27904
36;50000;0;2.25938
37;50000;0;2.14137
38;50000;0;2.0066
39;50000;0;2.05395
40;50000;0;2.25609
41;50000;0;2.13652
42;50000;0;2.33939
43;50000;0;2.06737
44;50000;0;2.39402
45;50000;0;2.18564
46;50000;0;2.07405
47;50000;0;2.15028
48;50000;0;2.20147
49;50000;0;2.32489
50;50000;0;2.15012
51;50000;0;2.13385
52;50000;0;2.20058
53;50000;0;2.20912
54;50000;0;2.36745
55;50000;0;2.13064
56;50000;0;2.10929
57;50000;0;2.19955
58;50000;0;2.25158
59;50000;0;2.4023
60;50000;0;2.22512
61;50000;0;2.0726
62;50000;0;2.0929
63;50000;0;2.33708
64;50000;0;2.347
65;50000;0;2.22038
66;50000;0;2.11542
67;50000;0;2.26683
68;50000;0;2.64541
69;50000;0;2.04369
70;50000;0;2.03846
71;50000;0;2.03982
72;50000;0;2.31862
73;50000;0;2.09845
74;50000;0;2.03652
75;50000;0;2.20591
76;50000;0;2.17091
77;50000;0;2.32857
78;50000;0;2.10235
79;50000;0;2.1234
80;50000;0;2.15895
81;50000;0;2.22202
82;50000;0;2.27842
83;50000;0;2.15096
84;50000;0;2.16304
85;50000;0;2.20146
86;50000;0;2.23442
87;50000;0;2.21697
88;50000;0;2.15487
89;50000;0;2.1982
90;50000;0;2.20237
91;50000;0;2.27398
92;50000;0;2.19953
93;50000;0;2.15971
94;50000;0;2.17018
95;50000;0;2.20014
96;50000;0;2.25
97;50000;0;2.22149
98;50000;0;2.14318
99;50000;0;2.18486
100;50000;0;2.20386
