Num_Threads;Qtd_Pontos;Sequencial;Paralelo
4;1000;0,0100992;0,0103672
4;2000;0,056741;0,030627
4;3000;0,101406;0,0492349
4;4000;0,165822;0,087466
4;5000;0,262144;0,142489
4;6000;0,378251;0,216908
4;7000;0,507159;0,261561
4;8000;0,662746;0,341318
4;9000;0,825399;0,421774
4;10000;1,02918;0,52495
4;20000;4,06015;2,21112
4;30000;9,14149;4,58482
4;40000;17,6333;8,48745
4;50000;29,1895;14,2749
4;60000;36,568;18,919
4;70000;50,0326;25,7411
4;80000;65,366;33,1593
4;90000;82,7879;42,3711
4;100000;101,966;51,7888
